Title,Features.Max Players,Features.Online?,Metadata.Genres,Metadata.Publishers,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Year,Length.All PlayStyles.Average,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Rushed
Electroplankton,1,TRUE,Simulation,Nintendo,71,0.01,29.95,Nintendo DS,T,2005,0.433333333,0.5,0.5,0.5,0,0,0,0.416666667,0.55,0.266666667
LifeSigns: Surgical Unit,1,TRUE,"Simulation,Strategy",,61,0.01,22.95,Nintendo DS,T,2005,30.51666667,30.51666667,30.51666667,30.51666667,0,0,0,0,0,0
Space Invaders Revolution,1,TRUE,Action,,49,0.01,13.95,Nintendo DS,E,2005,0,0,0,0,0,0,0,0,0,0
Wii Play,2,TRUE,"Action,Sports",Nintendo,58,14.66,14.95,Nintendo Wii,T,2006,5.816666667,0,0,0,10.46666667,11.46666667,9.466666667,4.083333333,5.016666667,2.883333333
New Super Mario Bros.,1,TRUE,Action,Nintendo,89,10.03,27.95,Nintendo DS,T,2006,10.23333333,17.06666667,24.98333333,10.68333333,10.93333333,16.23333333,7.65,7.2,14.15,4.8
Pokmon Diamond,1,TRUE,Role-Playing (RPG),Nintendo,85,6.77,27.95,Nintendo DS,E,2006,101.0666667,265.2,468.3166667,163.5333333,107.5666667,352.3166667,58.53333333,42.63333333,77.13333333,25.51666667
Pokmon Pearl,1,TRUE,Role-Playing (RPG),Nintendo,85,6.77,26.95,Nintendo DS,E,2006,101.0666667,265.2,468.3166667,163.5333333,107.5666667,352.3166667,58.53333333,42.63333333,77.13333333,25.51666667
Gears of War,2,TRUE,Action,Microsoft,94,3.7,19.95,X360,M,2006,10.83333333,29,111,14.5,12.15,21.78333333,8.783333333,9.183333333,12.88333333,6.533333333
The Legend of Zelda: Twilight Princess,1,TRUE,"Action,Role-Playing (RPG)",Nintendo,95,3.33,39.95,Nintendo Wii,M,2006,45.6,55.3,77.45,38.95,47.6,76.55,33.45,37.26666667,58.95,28.41666667
Cooking Mama,1,TRUE,Simulation,,67,2.9,17.95,Nintendo DS,M,2006,8.633333333,0,0,0,0,0,0,8.633333333,10.9,6.783333333
Marvel Ultimate Alliance,4,TRUE,"Action,Role-Playing (RPG)",Activision,82,2.42,14.95,X360,T,2006,15.25,25.38333333,30.05,20.73333333,17.63333333,28.93333333,12.85,12.86666667,20.63333333,9.3
Daxter,1,TRUE,Action,Sony,85,2.38,14.95,Sony PSP,T,2006,9.066666667,14.28333333,16.91666667,12.21666667,8.516666667,10.71666667,7.216666667,7.35,8.683333333,5.716666667
The Elder Scrolls IV: Oblivion,1,TRUE,"Action,Role-Playing (RPG)",2K,94,2.12,19.95,X360,E,2006,101.0833333,195.0333333,335.0333333,116,96.9,310.9666667,52.75,26.83333333,99.2,14.95
Madden NFL 07,2,TRUE,Sports,EA,80,1.77,4.95,X360,E,2006,0,0,0,0,0,0,0,0,0,0
Grand Theft Auto: Vice City Stories,1,TRUE,"Action,Racing / Driving",Rockstar,86,1.72,17.95,Sony PSP,E,2006,21.03333333,45.61666667,52.96666667,37.96666667,25.71666667,32.66666667,20.03333333,16.65,27.83333333,12.73333333
Resistance: Fall of Man,4,TRUE,Action,Sony,86,1.61,19.95,PlayStation 3,E,2006,12.2,18.58333333,21.68333333,16.01666667,13.38333333,16.33333333,11.46666667,11.75,14.93333333,8.933333333
MotorStorm,1,TRUE,"Action,Racing / Driving,Sports",Sony,82,1.58,16.95,PlayStation 3,T,2006,16.9,16.88333333,18.96666667,14.55,22.25,26.05,18.55,13.85,15.2,12.2
Call of Duty 3,2,TRUE,Action,Activision,82,1.51,16.95,X360,T,2006,8.816666667,9.8,12.2,7.733333333,11.58333333,14.13333333,9.633333333,8.3,12.06666667,6.566666667
Yoshi's Island DS,1,TRUE,Action,Nintendo,81,1.49,27.95,Nintendo DS,E,2006,9.633333333,0,0,0,13.63333333,19.7,9.9,8.516666667,10.48333333,6.683333333
Tom Clancy's Ghost Recon: Advanced Warfighter,4,TRUE,Action,Ubisoft,90,1.46,14.95,X360,E,2006,8.666666667,0,0,0,0,0,0,8.666666667,9.35,7.883333333
Fight Night Round 3,2,TRUE,"Action,Sports",EA,86,1.4,14.95,X360,E,2006,11.18333333,10.58333333,12.26666667,7.533333333,12.5,13.75,11.25,11.03333333,13,10
Pokmon Ranger,1,TRUE,Role-Playing (RPG),Nintendo,69,1.36,19.95,Nintendo DS,E,2006,16.55,36.88333333,48.16666667,25.38333333,14.6,17.35,12.25,12.55,16.76666667,9.916666667
Rayman Raving Rabbids,4,TRUE,Action,Ubisoft,76,1.26,17.95,Nintendo Wii,T,2006,6.7,8.1,8.55,7.65,8.266666667,9.1,6.766666667,5.8,6.95,4.866666667
Saints Row,1,TRUE,"Action,Racing / Driving",THQ,81,1.23,14.95,X360,T,2006,24.68333333,55.61666667,98.35,37.1,23.5,26.46666667,19.46666667,17.88333333,22.21666667,15.68333333
Tom Clancy's Rainbow Six: Vegas,2,TRUE,Action,Ubisoft,88,1.19,14.95,X360,E,2006,9.9,12,12,12,12.95,21.4,9.4,8.75,17.43333333,6.366666667
Dead Rising,1,TRUE,Action,Capcom,85,1.16,16.95,X360,E,2006,19.23333333,55.56666667,75.13333333,43.33333333,21.76666667,42.81666667,14.56666667,11.08333333,15.4,6.9
Call of Duty 3,1,TRUE,Action,Activision,69,1.15,19.95,Nintendo Wii,E,2006,8.816666667,9.8,12.2,7.733333333,11.58333333,14.13333333,9.633333333,8.3,12.06666667,6.566666667
Lost Planet: Extreme Condition,1,TRUE,Action,Capcom,79,1.15,12.95,X360,M,2006,8.866666667,12.7,15.6,9.8,9.516666667,12.73333333,8.483333333,8.566666667,13.26666667,6.35
Mario Hoops 3 on 3,1,TRUE,Sports,Nintendo,69,1.03,22.95,Nintendo DS,M,2006,4.25,0,0,0,5,5,5,3.5,3.5,3.5
LEGO Star Wars II: The Original Trilogy,1,TRUE,Action,EA,47,1.02,17.95,Nintendo DS,E,2006,17.55,27.85,37.61666667,23.61666667,16.81666667,28.45,13.95,11.25,16,8.3
Super Monkey Ball: Banana Blitz,4,TRUE,Action,Sega,74,1,14.95,Nintendo Wii,T,2006,5.316666667,0,0,0,0,0,0,5.316666667,6.916666667,4.166666667
The Sims 2: Pets,1,TRUE,Simulation,EA,49,0.97,14.95,Nintendo DS,T,2006,27.7,0,0,0,27.7,31.55,23.85,0,0,0
Need for Speed: Carbon - Own the City,1,TRUE,Racing / Driving,EA,73,0.93,16.95,Sony PSP,E,2006,18.03333333,20.35,20.35,20.35,0,0,0,15.71666667,15.71666667,15.71666667
WarioWare: Smooth Moves,6,TRUE,"Action,Racing / Driving,Sports",Nintendo,83,0.9,39.95,Nintendo Wii,T,2006,4.466666667,7.783333333,10.41666667,5.25,6.266666667,8.95,4.816666667,2.766666667,6.316666667,1.783333333
Fight Night Round 3,2,TRUE,"Action,Sports",EA,83,0.86,13.95,PlayStation 3,T,2006,11.18333333,10.58333333,12.26666667,7.533333333,12.5,13.75,11.25,11.03333333,13,10
Final Fantasy III,1,TRUE,Role-Playing (RPG),SquareEnix,77,0.86,17.95,Nintendo DS,E,2006,51.06666667,89.7,118.6166667,69.73333333,52.95,87.43333333,36.43333333,27.71666667,44.05,20.6
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,1,TRUE,Action,Sony,81,0.86,16.95,Sony PSP,E,2006,0,0,0,0,0,0,0,0,0,0
Madden NFL 07,1,TRUE,Sports,EA,78,0.83,9.95,Sony PSP,E,2006,0,0,0,0,0,0,0,0,0,0
Monster 4x4: World Circuit,4,TRUE,Racing / Driving,Ubisoft,51,0.82,12.95,Nintendo Wii,E,2006,0,0,0,0,0,0,0,0,0,0
Kirby: Squeak Squad,1,TRUE,Action,Nintendo,71,0.82,27.95,Nintendo DS,T,2006,5.633333333,6.6,9.283333333,3.816666667,5.233333333,6.5,4.233333333,4.216666667,5.883333333,3.033333333
Pokmon Battle Revolution,4,TRUE,"Action,Strategy",Nintendo,53,0.81,39.95,Nintendo Wii,T,2006,20.03333333,65.71666667,65.71666667,65.71666667,23.51666667,28.48333333,19.58333333,13.01666667,18.5,9.583333333
Medal of Honor: Heroes,1,TRUE,Action,EA,71,0.81,14.95,Sony PSP,E,2006,4.966666667,0,0,0,5,5,5,4.95,5.483333333,4.366666667
Tekken: Dark Resurrection,1,TRUE,Action,"Namco,Sony",88,0.81,17.95,Sony PSP,E,2006,22.65,35.08333333,35.11666667,35.03333333,30.5,30.75,30.25,2.366666667,2.55,2.183333333
Need for Speed: Carbon,2,TRUE,Racing / Driving,EA,77,0.78,16.95,X360,E,2006,13.3,22.66666667,25.16666667,20.16666667,13.01666667,16.75,9.183333333,12.61666667,15.4,8.866666667
Mario vs. Donkey Kong 2: March of the Minis,1,TRUE,Action,Nintendo,76,0.77,27.95,Nintendo DS,T,2006,5.016666667,0,0,0,6.75,7.616666667,5.866666667,3.883333333,4.416666667,3.333333333
Sonic Rivals,1,TRUE,"Action,Racing / Driving",Sega,64,0.76,17.95,Sony PSP,T,2006,9.6,20,20,20,0,0,0,6.15,6.533333333,5.75
NCAA Football 07,2,TRUE,Sports,EA,79,0.7,4.95,X360,E,2006,0,0,0,0,0,0,0,0,0,0
Mortal Kombat: Unchained,2,TRUE,Action,Midway,70,0.67,17.95,Sony PSP,E,2006,13.55,45,45,45,0,0,0,3.066666667,4.7,1.45
Tom Clancy's Splinter Cell: Double Agent,1,TRUE,Action,Ubisoft,85,0.67,17.95,X360,E,2006,12.41666667,17.36666667,37.16666667,11.21666667,11.93333333,19.25,8.733333333,11.61666667,15.65,9.65
Tetris DS,1,TRUE,Strategy,Nintendo,84,0.66,17.95,Nintendo DS,M,2006,27.4,33.5,35.25,31.75,34,37.75,30.25,16.75,16.93333333,16.55
LEGO Star Wars II: The Original Trilogy,2,TRUE,Action,,83,0.61,17.95,Sony PSP,T,2006,17.55,27.85,37.61666667,23.61666667,16.81666667,28.45,13.95,11.25,16,8.3
Red Steel,4,TRUE,Action,Ubisoft,63,0.58,14.95,Nintendo Wii,T,2006,8.6,0,0,0,0,0,0,8.6,9.966666667,7.366666667
Metroid Prime: Hunters,1,TRUE,Action,Nintendo,85,0.58,27.95,Nintendo DS,E,2006,9.3,15.25,16.88333333,13.61666667,9.05,10.95,7.766666667,8.8,11.85,6.7
LEGO Star Wars II: The Original Trilogy,2,TRUE,Action,,81,0.57,14.95,X360,E,2006,17.55,27.85,37.61666667,23.61666667,16.81666667,28.45,13.95,11.25,16,8.3
NBA 2K7 ,1,TRUE,Sports,2K,84,0.56,4.95,X360,E,2006,8.183333333,0,0,0,0,0,0,8.183333333,8.766666667,7.583333333
SEGA Genesis Collection,2,TRUE,"Action,Racing / Driving,Role-Playing (RPG),Strategy",Sega,82,0.55,17.95,Sony PSP,T,2006,0,0,0,0,0,0,0,0,0,0
Call of Duty 3,1,TRUE,Action,Activision,80,0.52,19.95,PlayStation 3,T,2006,8.816666667,9.8,12.2,7.733333333,11.58333333,14.13333333,9.633333333,8.3,12.06666667,6.566666667
NBA Live 07,1,TRUE,Sports,EA,64,0.51,7.95,Sony PSP,E,2006,0,0,0,0,0,0,0,0,0,0
Madden NFL 07,2,TRUE,Sports,EA,76,0.49,6.95,PlayStation 3,T,2006,0,0,0,0,0,0,0,0,0,0
SpongeBob SquarePants: The Yellow Avenger,1,TRUE,Action,THQ,48,0.49,12.95,Sony PSP,T,2006,11.85,15.7,15.7,15.7,0,0,0,8,8,8
Madden NFL 07,4,TRUE,Sports,EA,81,0.48,9.95,Nintendo Wii,E,2006,0,0,0,0,0,0,0,0,0,0
Fight Night Round 3,2,TRUE,"Action,Simulation,Sports",EA,74,0.48,16.95,Sony PSP,T,2006,11.18333333,10.58333333,12.26666667,7.533333333,12.5,13.75,11.25,11.03333333,13,10
Need for Speed: Carbon,2,TRUE,Racing / Driving,EA,75,0.47,17.95,PlayStation 3,T,2006,13.3,22.66666667,25.16666667,20.16666667,13.01666667,16.75,9.183333333,12.61666667,15.4,8.866666667
Need for Speed: Carbon,2,TRUE,Racing / Driving,EA,67,0.47,17.95,Nintendo Wii,M,2006,13.3,22.66666667,25.16666667,20.16666667,13.01666667,16.75,9.183333333,12.61666667,15.4,8.866666667
WWE SmackDown vs. Raw 2007,4,TRUE,Sports,THQ,81,0.45,12.95,X360,E,2006,23.4,57.6,64.51666667,50.66666667,0,0,0,8.75,9.433333333,8.216666667
Tiger Woods PGA Tour 07,1,TRUE,Sports,EA,80,0.45,9.95,X360,T,2006,10,0,0,0,0,0,0,10,10,10
Viva Pi$?ata,4,TRUE,"Simulation,Strategy",Microsoft,84,0.44,16.95,X360,E,2006,38.7,52.38333333,58.25,47.58333333,32.95,41.33333333,27.83333333,18,19.25,16.25
SpongeBob Squarepants: Creature from the Krusty Krab,1,TRUE,"Action,Adventure",THQ,57,0.44,14.95,Nintendo Wii,T,2006,7.083333333,7.75,9.35,6.166666667,8,9,7.016666667,5.883333333,6.8,5.25
Tony Hawk's Project 8,2,TRUE,Sports,Activision,68,0.42,17.95,Sony PSP,M,2006,17.16666667,0,0,0,18.43333333,20.2,16.7,16.43333333,17.73333333,15.15
Tony Hawk's Project 8,2,TRUE,Sports,Activision,81,0.42,16.95,X360,E,2006,17.16666667,0,0,0,18.43333333,20.2,16.7,16.43333333,17.73333333,15.15
NBA LIVE 07 ,1,TRUE,Sports,EA,59,0.42,4.95,X360,T,2006,0,0,0,0,0,0,0,0,0,0
Excite Truck,2,TRUE,Racing / Driving,Nintendo,72,0.4,19.95,Nintendo Wii,M,2006,15.85,24.33333333,24.83333333,23.83333333,12,13,11,7,7,7
Harvest Moon DS,1,TRUE,"Role-Playing (RPG),Simulation",,67,0.4,17.95,Nintendo DS,T,2006,53.38333333,75,75,75,69.08333333,69.08333333,69.08333333,44.06666667,54.8,32.8
Star Fox Command,1,TRUE,Action,Nintendo,76,0.39,14.95,Nintendo DS,T,2006,3.7,0,0,0,6.6,7.3,5.9,3.316666667,5.066666667,2.066666667
Metal Gear Solid: Portable Ops,1,TRUE,"Action,Strategy",Konami,87,0.39,17.95,Sony PSP,T,2006,13.35,30,30,30,16.48333333,22.88333333,12.48333333,11.68333333,17.31666667,8.65
Marvel Ultimate Alliance,4,TRUE,"Action,Role-Playing (RPG)",Activision,73,0.38,17.95,Nintendo Wii,M,2006,15.25,25.38333333,30.05,20.73333333,17.63333333,28.93333333,12.85,12.86666667,20.63333333,9.3
Blazing Angels: Squadrons of WWII,2,TRUE,Action,Ubisoft,66,0.37,16.95,X360,E,2006,0,0,0,0,0,0,0,0,0,0
Major League Baseball 2K6,2,TRUE,Sports,2K,66,0.37,4.95,X360,T,2006,7.65,7.65,9.9,5.4,0,0,0,0,0,0
NCAA Football 07,1,TRUE,Sports,EA,75,0.36,9.95,Sony PSP,T,2006,0,0,0,0,0,0,0,0,0,0
MLB 06: The Show,2,TRUE,Sports,Sony,83,0.35,9.95,Sony PSP,T,2006,0,0,0,0,0,0,0,0,0,0
Blazing Angels: Squadrons of WWII,2,TRUE,Action,Ubisoft,67,0.35,16.95,PlayStation 3,T,2006,0,0,0,0,0,0,0,0,0,0
WWE SmackDown vs. Raw 2007,4,TRUE,Sports,THQ,78,0.34,14.95,Sony PSP,T,2006,23.4,57.6,64.51666667,50.66666667,0,0,0,8.75,9.433333333,8.216666667
Rune Factory: A Fantasy Harvest Moon,1,TRUE,"Role-Playing (RPG),Simulation",,78,0.34,24.95,Nintendo DS,T,2006,66.13333333,38,38,38,75.51666667,87.23333333,63.78333333,0,0,0
Marvel Ultimate Alliance,1,TRUE,"Action,Role-Playing (RPG)",Activision,81,0.34,22.95,Sony PSP,E,2006,15.25,25.38333333,30.05,20.73333333,17.63333333,28.93333333,12.85,12.86666667,20.63333333,9.3
Marvel Ultimate Alliance,4,TRUE,"Action,Role-Playing (RPG)",Activision,78,0.33,24.95,PlayStation 3,M,2006,15.25,25.38333333,30.05,20.73333333,17.63333333,28.93333333,12.85,12.86666667,20.63333333,9.3
Tiger Woods PGA Tour 07,4,TRUE,Sports,EA,81,0.32,14.95,PlayStation 3,E,2006,10,0,0,0,0,0,0,10,10,10
Ace Combat X: Skies of Deception,1,TRUE,"Action,Simulation",Namco,75,0.32,22.95,Sony PSP,E,2006,4.883333333,12.5,12.5,12.5,4.516666667,4.95,3.983333333,4.183333333,6.483333333,2.816666667
Killzone: Liberation,1,TRUE,"Action,Strategy",Sony,77,0.32,16.95,Sony PSP,M,2006,8.3,9.533333333,10.31666667,8.766666667,10.53333333,12.25,8.866666667,7.583333333,9.866666667,6.666666667
F.E.A.R.: First Encounter Assault Recon,1,TRUE,Action,,85,0.32,17.95,X360,E,2006,9.4,11.9,17.43333333,8.383333333,10.93333333,19.25,7.983333333,8.583333333,13.25,6.25
NBA 2K7,7,TRUE,Sports,2K,80,0.31,7.95,PlayStation 3,E,2006,8.183333333,0,0,0,0,0,0,8.183333333,8.766666667,7.583333333
Tony Hawk's Project 8,2,TRUE,Sports,Activision,76,0.3,14.95,PlayStation 3,T,2006,17.16666667,0,0,0,18.43333333,20.2,16.7,16.43333333,17.73333333,15.15
Avatar: The Last Airbender,1,TRUE,Action,THQ,64,0.3,17.95,Nintendo DS,E,2006,4.75,4.066666667,6.016666667,2.183333333,0,0,0,5.333333333,6.583333333,3.5
Castlevania: Portrait of Ruin,1,TRUE,Action,Konami,85,0.3,17.95,Nintendo DS,M,2006,13.13333333,23.13333333,31.5,19.25,12.58333333,18.63333333,9.25,11.1,15.75,7.5
Hitman: Blood Money,1,TRUE,Action,Eidos,82,0.29,22.95,X360,E,2006,14.06666667,19.33333333,32.55,13.9,16.08333333,23.7,10.41666667,11.81666667,16.45,7.45
Rockstar Games presents Table Tennis,2,TRUE,Sports,Rockstar,81,0.28,9.95,X360,M,2006,6,0,0,0,6,6,6,6,6,6
Trauma Center: Second Opinion,1,TRUE,"Action,Simulation",Nintendo,80,0.28,17.95,Nintendo Wii,T,2006,9.216666667,16,16,16,10.08333333,12.03333333,8.133333333,8.683333333,11.63333333,6.45
Tenchu Z,1,TRUE,Action,Microsoft,56,0.28,14.95,X360,E,2006,34.03333333,59,66.5,51.5,12,12,12,20.81666667,21.16666667,20.41666667
Elite Beat Agents,1,TRUE,Action,Nintendo,87,0.27,9.95,Nintendo DS,M,2006,10.26666667,30.45,38.85,20.35,6.4,10.3,3.55,4.15,6.033333333,2.533333333
Street Fighter Alpha 3 MAX,1,TRUE,Action,Capcom,80,0.27,14.95,Sony PSP,M,2006,3,0,0,0,4,4,4,2,2,2
Blue Dragon,1,TRUE,Role-Playing (RPG),Microsoft,79,0.27,14.95,X360,T,2006,59.91666667,99.13333333,110.8,88.86666667,59.95,86.73333333,45.06666667,44.5,52.9,37.26666667
The Lord of the Rings: The Battle for Middle Ea...,1,TRUE,Strategy,EA,79,0.27,19.95,X360,T,2006,20.43333333,27.85,38.2,19.46666667,18.88333333,20.33333333,17.8,14.71666667,19.3,12.8
Prey,1,TRUE,Action,2K,79,0.27,14.95,X360,T,2006,8.35,12.83333333,18.93333333,9.15,9.316666667,12.06666667,7.483333333,7.5,9.866666667,6.05
Over the Hedge,1,TRUE,Adventure,Activision,71,0.26,16.95,Nintendo DS,E,2006,7.216666667,15,15,15,5.933333333,6.166666667,5.7,2,2,2
Capcom Classics Collection Reloaded,1,TRUE,Action,Capcom,75,0.26,17.95,Sony PSP,T,2006,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: Dead Man's Chest,1,TRUE,Action,,52,0.26,14.95,Sony PSP,T,2006,2.683333333,3.75,3.75,3.75,2.833333333,2.833333333,2.833333333,2.083333333,2.116666667,2.033333333
NHL 07 ,1,TRUE,Sports,EA,79,0.26,5.95,X360,T,2006,9,8,8,8,0,0,0,10,10,10
Monster Hunter Freedom,1,TRUE,"Action,Strategy",Capcom,71,0.25,12.95,Sony PSP,E,2006,279.7333333,683.1333333,691.5666667,674.7,84.06666667,103.1166667,65.01666667,60,60,60
Chromehounds,1,TRUE,"Action,Simulation,Strategy",Sega,71,0.25,14.95,X360,T,2006,32.66666667,72,72,72,16,16,16,10,10,10
Test Drive Unlimited,1,TRUE,Racing / Driving,Atari,82,0.25,17.95,X360,T,2006,53.4,112.6666667,132.1666667,93.16666667,55.66666667,96.41666667,41.41666667,28.08333333,32.01666667,24.51666667
Dragon Ball Z: Budokai Tenkaichi 2,2,TRUE,Action,Atari,72,0.24,14.95,Nintendo Wii,E,2006,17.63333333,28.88333333,35.96666667,24.71666667,14,17.05,11.55,11.28333333,12.81666667,10.3
Dragon Quest Monsters: Joker,1,TRUE,Role-Playing (RPG),SquareEnix,75,0.24,14.95,Nintendo DS,T,2006,37.96666667,63.63333333,74.95,52.31666667,30.03333333,37.46666667,22.6,34.9,39.55,30.41666667
Pirates of the Caribbean: Dead Man's Chest,1,TRUE,Action,,63,0.24,11.95,Nintendo DS,E,2006,2.683333333,3.75,3.75,3.75,2.833333333,2.833333333,2.833333333,2.083333333,2.116666667,2.033333333
NFL Street 3,1,TRUE,"Action,Sports",EA,68,0.24,14.95,Sony PSP,T,2006,0,0,0,0,0,0,0,0,0,0
Syphon Filter: Dark Mirror,1,TRUE,Action,Sony,87,0.24,12.95,Sony PSP,M,2006,8.466666667,15,15,15,9.25,10.08333333,8.416666667,6.85,7.333333333,6.2
NBA 07,4,TRUE,Sports,Sony,63,0.23,6.95,PlayStation 3,T,2006,0,0,0,0,0,0,0,0,0,0
Ridge Racer 7,2,TRUE,Racing / Driving,"Namco,Sony",78,0.23,19.95,PlayStation 3,E,2006,21.25,50,50,50,15,15,15,10,10,10
The Outfit,2,TRUE,Action,THQ,70,0.23,14.95,X360,E,2006,7.866666667,0,0,0,7.75,7.75,7.75,8,8,8
Elebits,4,TRUE,Action,Konami,75,0.22,14.95,Nintendo Wii,T,2006,8.016666667,0,0,0,0,0,0,8.016666667,9.25,6.3
Tony Hawk's Downhill Jam,1,TRUE,"Racing / Driving,Sports",Activision,76,0.22,14.95,Nintendo DS,T,2006,0,0,0,0,0,0,0,0,0,0
The Sims 2: Pets,1,TRUE,Simulation,EA,57,0.21,17.95,Sony PSP,T,2006,27.7,0,0,0,27.7,31.55,23.85,0,0,0
Tiger Woods PGA Tour 07,1,TRUE,Sports,EA,78,0.21,12.95,Sony PSP,E,2006,10,0,0,0,0,0,0,10,10,10
Thrillville,1,TRUE,"Simulation,Strategy",Atari,72,0.2,14.95,Sony PSP,E,2006,8.233333333,0,0,0,8.233333333,8.233333333,8.233333333,0,0,0
The Godfather: The Game,1,TRUE,Action,EA,77,0.2,17.95,X360,T,2006,21.15,27.56666667,33.63333333,17.41666667,23.76666667,32.7,17.15,12.93333333,15.48333333,9.15
Rampage: Total Destruction,4,TRUE,Action,Midway,46,0.19,16.95,Nintendo Wii,E,2006,5,0,0,0,0,0,0,5,5,5
College Hoops 2K7,4,TRUE,Sports,2K,82,0.19,6.95,X360,T,2006,0,0,0,0,0,0,0,0,0,0
Far Cry: Instincts - Predator,4,TRUE,Action,Ubisoft,78,0.19,17.95,X360,E,2006,18.76666667,20,20,20,21.4,24.1,18.71666667,15.73333333,16.63333333,14.85
Full Auto,2,TRUE,"Action,Racing / Driving",Sega,70,0.19,16.95,X360,E,2006,5,0,0,0,0,0,0,5,5,5
Age of Empires: The Age of Kings,1,TRUE,Strategy,,80,0.19,17.95,Nintendo DS,T,2006,57.85,62.41666667,83.1,39.1,75.93333333,164.2333333,40.06666667,46.15,73.03333333,29.03333333
Need for Speed: Carbon - Own the City,1,TRUE,"Action,Racing / Driving",EA,70,0.19,14.95,Nintendo DS,T,2006,18.03333333,20.35,20.35,20.35,0,0,0,15.71666667,15.71666667,15.71666667
Brothers in Arms: D-Day,1,TRUE,Action,Ubisoft,65,0.19,6.95,Sony PSP,T,2006,8,0,0,0,0,0,0,8,8,8
Family Guy Video Game!,1,TRUE,Action,2K,51,0.19,19.95,Sony PSP,M,2006,6.1,0,0,0,0,0,0,6.1,7.483333333,4.983333333
Superman Returns,1,TRUE,Action,EA,51,0.19,7.95,X360,E,2006,18.76666667,21.71666667,23.55,19.48333333,0,0,0,7,7,7
Over G Fighters,2,TRUE,Simulation,Ubisoft,49,0.18,17.95,X360,E,2006,0,0,0,0,0,0,0,0,0,0
Final Fantasy XI Online,1,TRUE,"Action,Role-Playing (RPG)",SquareEnix,66,0.18,4.95,X360,E,2006,0,0,0,0,0,0,0,0,0,0
Mystery Dungeon: Shiren the Wanderer,1,TRUE,"Action,Role-Playing (RPG)",Sega,69,0.17,17.95,Nintendo DS,T,2006,33,44,44,44,0,0,0,22,22,22
Phoenix Wright: Ace Attorney - Justice for All,1,TRUE,"Adventure,Simulation",Capcom,76,0.17,13.95,Nintendo DS,E,2006,18.83333333,19.73333333,27.36666667,13.86666667,20.73333333,26.81666667,17.65,17.75,30.28333333,13.65
Justice League Heroes,1,TRUE,Action,,72,0.17,17.95,Sony PSP,M,2006,10.36666667,21.1,21.1,21.1,0,0,0,5,5,5
Valhalla Knights,1,TRUE,"Action,Role-Playing (RPG)",,53,0.17,16.95,Sony PSP,T,2006,100,0,0,0,100,100,100,0,0,0
Genji: Days of the Blade,1,TRUE,"Action,Role-Playing (RPG)",Sony,55,0.17,14.95,PlayStation 3,T,2006,13.33333333,0,0,0,0,0,0,13.33333333,18.06666667,10.83333333
Top Spin 2,4,TRUE,Sports,2K,75,0.16,12.95,X360,T,2006,10,0,0,0,0,0,0,10,10,10
Field Commander,2,TRUE,Strategy,"Sony,Ubisoft",77,0.16,14.95,Sony PSP,T,2006,13.88333333,0,0,0,0,0,0,13.88333333,14.43333333,13.31666667
Children of Mana,1,TRUE,"Action,Role-Playing (RPG)","Nintendo,SquareEnix",65,0.16,16.95,Nintendo DS,E,2006,22.55,27.95,31.08333333,25.75,24.11666667,36.58333333,17.33333333,17.68333333,24.43333333,14.16666667
Valkyrie Profile: Lenneth,1,TRUE,Role-Playing (RPG),SquareEnix,80,0.16,22.95,Sony PSP,E,2006,37.5,48.76666667,72.21666667,39.41666667,36.83333333,42.46666667,30.93333333,33.18333333,44.28333333,26.8
Monster House,1,TRUE,Action,THQ,62,0.15,14.95,Nintendo DS,M,2006,6.666666667,6.666666667,6.666666667,6.666666667,0,0,0,0,0,0
Enchanted Arms,1,TRUE,Role-Playing (RPG),Ubisoft,69,0.15,17.95,X360,E,2006,43.28333333,52.4,74.95,34.36666667,43.65,71.66666667,30.83333333,22.48333333,25.26666667,20.06666667
NHL 07,4,TRUE,Sports,EA,76,0.14,12.95,Sony PSP,M,2006,9,8,8,8,0,0,0,10,10,10
Bust-a-Move Deluxe,2,TRUE,Strategy,,73,0.14,14.95,Sony PSP,M,2006,0,0,0,0,0,0,0,0,0,0
Full Auto 2: Battlelines,2,TRUE,"Action,Racing / Driving",Sega,67,0.14,14.95,PlayStation 3,T,2006,10.03333333,12.5,12.5,12.5,10.18333333,10.18333333,10.18333333,8.75,8.866666667,8.616666667
Blitz: The League,2,TRUE,Sports,Midway,69,0.14,14.95,X360,T,2006,15,0,0,0,0,0,0,15,15,15
Star Trek Legacy,2,TRUE,"Action,Strategy",Ubisoft,64,0.14,24.95,X360,E,2006,9.033333333,9,9,9,8,8,8,9.4,10.7,8.1
Eragon,1,TRUE,"Action,Role-Playing (RPG)",,63,0.14,16.95,Nintendo DS,E,2006,8.833333333,11.66666667,13.91666667,9.416666667,0,0,0,5.433333333,6.35,4.233333333
Master of Illusion,1,TRUE,Strategy,Nintendo,69,0.14,14.95,Nintendo DS,E,2006,4.1,4.1,4.516666667,3.666666667,0,0,0,0,0,0
